order_id,binario,importo,valuta,chain,chain_id,forwarder,conferme,tx_hash,gas_usato,gas_prezzo_wei,costo_gas_nativo,t0,t1,t2,t3,t4,t5,latenza_conferma,latenza_riconcil,latenza_regolam,stato_ordine,esito,categoria_errore,stato_rimborso,fattura_numero,fattura_uuid,fattura_stato,fattura_accettata,imponibile,imposta,anomalia_orologio
9,stablecoin,49.90,EUR,basesepolia,,0xe7f1725e7734ce288f8367e1bb143e90bb3f0512,,,,,,,,,,,,,,,pending,in_attesa,,,,,,0,49.90,0.00,0
10,stablecoin,49.90,EUR,basesepolia,,0xe7f1725e7734ce288f8367e1bb143e90bb3f0512,,,,,,,,,,,,,,,pending,in_attesa,,,,,,0,49.90,0.00,0
11,stablecoin,49.90,EUR,basesepolia,,0xe7f1725e7734ce288f8367e1bb143e90bb3f0512,,,,,,,,,,,,,,,pending,in_attesa,,,,,,0,49.90,0.00,0
12,stablecoin,49.90,EUR,basesepolia,,0xe7f1725e7734ce288f8367e1bb143e90bb3f0512,,0xf28cd54f9a3ff2fefc854a4f823e3d88ab5955f251943e5580dc53920ae91334,,,,,,,,,,,,,completed,successo,,,,,,0,49.90,0.00,0
14,stablecoin,49.90,EUR,basesepolia,,0xe7f1725e7734ce288f8367e1bb143e90bb3f0512,,0xf28cd54f9a3ff2fefc854a4f823e3d88ab5955f251943e5580dc53920ae91334,,,,,,,,,,,,,completed,successo,,,,,,0,49.90,0.00,0
15,stablecoin,49.90,EUR,basesepolia,,0xe7f1725e7734ce288f8367e1bb143e90bb3f0512,,0x28e1aac018b2c5d45f243f72eeda72dd465e8313114975810952e5f530a60511,,,,,,,,,,,,,completed,successo,,,,,,0,49.90,0.00,0
16,stablecoin,49.90,EUR,basesepolia,,0xe7f1725e7734ce288f8367e1bb143e90bb3f0512,,0x37fdabcde3d869240963fda116c714d64f41a84d66fefac28e2a5f4c459831fe,,,,,,,,,,,,,completed,successo,,,,,,0,49.90,0.00,0
17,stablecoin,49.90,EUR,basesepolia,,0xe7f1725e7734ce288f8367e1bb143e90bb3f0512,,0x43646ed2d006210b83c61709febec28dc67b90b4278c0cd3976288052a085e1b,,,,,,,,,,,,,completed,successo,,,,,,0,49.90,0.00,0
18,stablecoin,49.90,EUR,basesepolia,,0xe7f1725e7734ce288f8367e1bb143e90bb3f0512,,0xe82f91a52d9b2604b043a716f3a72eaf096e5327331efaa13235a4ff0fffa196,,,,,,,,,,,,,completed,successo,,,,,,0,49.90,0.00,0
19,stablecoin,49.90,EUR,basesepolia,,0xe7f1725e7734ce288f8367e1bb143e90bb3f0512,,0x7cb085337bceea97d8bd9e83eb9739112e45292f06e448482999969d740f641f,,,,,,,,,,,,,completed,successo,,,,,,0,49.90,0.00,0
20,stablecoin,49.90,EUR,basesepolia,,0xa513e6e4b8f2a923d98304ec87f64353c4d5c853,,0x3fba926789aadd9797abe81d544ab3b01aba22211837f9367ab83e492b40bbef,,,,,,,,,,,,,completed,successo,,,,,,0,49.90,0.00,0
