campagna,order_id,order_ref,modalita,t_invio,tx_approve,gas_approve,prezzo_approve_wei,l1_fee_approve_wei,tx_pay,gas_pay,prezzo_pay_wei,l1_fee_pay_wei,esito
2026-09-02-finalita-c12,,,allowance,,0x40ecd46d122484c898f1f6d6b1a5d643f95aabf15281f3ce27a2803adfb86cdf,34299,6000000,5954903586,,,,,approve-lotto
2026-09-02-finalita-c12,1066,0xba284b9b57c2988447211d385aa1bae1a5adc4faf2a234201cac48390853dc19,allowance,1788339532.645,,,,,0x6047798f4f56f5806ee8e7e1874ef06a0bd32f8263f50b623598b8c72a226923,65388,6000000,5954903586,ok
2026-09-02-finalita-c12,1076,0x54ceac71a7c194f63131bd69cc87532d6b0b272246907aa21ac2f9ef08136156,allowance,1788339534.025,,,,,0x5abf6d203d25ae35e6b645a2b6741109e890fef2aa21123f827dbee76ea9a185,65388,6000000,5954903586,ok
2026-09-02-finalita-c12,1069,0x6e3d2ec9c1cbaf1822c527e23acb75743413f941a3c34fb2e979a5e8515a9a32,allowance,1788339534.981,,,,,0x8394f1229270400fab9a548350db201c8c9a02755d086c6adf6a4c8582ddd386,65388,6000000,5954903586,ok
2026-09-02-finalita-c12,1074,0xd036913086e6f152d62eaa43ac61675a8cf68b43527f96e9bde4f330e5ca81a6,allowance,1788339535.898,,,,,0xcd7baf8e24ca29b7297f563aad9cd81d2a0a96c06e711f52d04fa060dd4fc7c8,65388,6000000,40601926099,ok
2026-09-02-finalita-c12,1073,0xff0a5167325593453d0058234f5d11c13a8ab1fa4d6f625145dac026492918f4,allowance,1788339537.536,,,,,0x65b6a694033eacca3e9fa2676403589a388290cc5f02285e85ae1331f4849d1b,65376,6000000,5954903586,ok
2026-09-02-finalita-c12,1072,0xd95a98d83819df46adaca6f971f76a600ec1aa86c1f1a2b0324b7ab96af121da,allowance,1788339542.599,,,,,0xa2f0831f7de469fb746a765175bd7c1d93516e1e7ae63f37c0e17e1df1b805de,65388,6000000,5954903586,ok
2026-09-02-finalita-c12,1065,0x460bf3dbd278a29ecfdc34bb7f22d4d92fd59cf1c73deacf52d004e8a0acb8a5,allowance,1788339543.538,,,,,0xe10fdf5c7ef27c1430c347b026d84f52b13b952e64faededb2dcd47033a5eed6,65388,6000000,11013141610,ok
2026-09-02-finalita-c12,1071,0xf53f0273e76dd61ec15d118e7595e76a4cdfb42c115063e962bd5d9443397bb2,allowance,1788339544.535,,,,,0x43a4c5f695b60b138f74203664386d6c120d88621a02f25acd397e8a18b4e2d7,65388,6000000,5954903586,ok
2026-09-02-finalita-c12,1067,0xefe001b8d97a868a6d554da528053ae5e51c59fae57b9d8bbccf4b024706d9ca,allowance,1788339547.107,,,,,0x24af356a0860f59b9aeaa47dd0386dd40986c3a217f60cda883720dec223197a,65388,6000000,5976774663,ok
2026-09-02-finalita-c12,1079,0x6e90ec223b3dd8df80a40422f102ae1ad579132d1b4d407d79213cbcfcb1347e,allowance,1788339548.421,,,,,0x8b53555f2b21033e4dae6549925beb24258bdbf663720f016b3990cb640211ed,65388,6000000,5976774663,ok
2026-09-02-finalita-c12,1077,0x8b27bb55e8b89ca5b0c7b871d64483f5b0d7479a16a09f10d0a64a9e2f575004,allowance,1788339549.342,,,,,0x1328bca42e445da90b22b80201ebbd8ccf9a9a79bf9de58dfdb5d7c7a208acf9,65388,6000000,5976774663,ok
2026-09-02-finalita-c12,1070,0xe51ca6f5e4f5490d1260d0dd91df560ba203e8340a66609a4e3a2bbc7dfcc909,allowance,1788339550.7,,,,,0x6cdfe8217aeed915c78f5bde5c9e8040c5cdc69514f5906089f8fcd9dc98974e,65388,6000000,5976774663,ok
2026-09-02-finalita-c12,1068,0xd0d307784a2567200f0c9dbc009f238708507cbb6c2e810ebd35c9b66358f994,allowance,1788339551.633,,,,,0x85dc5874b900cece338ef1f4277955eba0d0f2d02490be018f7c9dec6985b7db,65376,6000000,5976774663,ok
2026-09-02-finalita-c12,1078,0xc67be9e31ffaec369be486c87ab8eeb8459945b097689621d6bf434dab7f32a6,allowance,1788339552.948,,,,,0x082031f986db2642032b2e02ae4e5b4dd4c4568e0c8955ef49dee387a4796852,65388,6000000,27052220922,ok
2026-09-02-finalita-c12,1075,0xd1419098c9a3ce1f62a79431ffbfaa95d628a0f57eb07f5f2f2b8862560d5699,allowance,1788339554.365,,,,,0x61cfda292fb0ad82da2598f2e36ca0c14e6b8e9da6dce859dde7d5d020478681,60588,6000000,5976774663,ok
