campagna,order_id,order_ref,modalita,t_invio,tx_approve,gas_approve,prezzo_approve_wei,l1_fee_approve_wei,tx_pay,gas_pay,prezzo_pay_wei,l1_fee_pay_wei,esito
2026-09-02-v2-approve-b,1148,0x2ecda8ed55328ad3292943295799ebac6b23e67ad34217821923a0ffb1ba97a9,approve,1788341820.279,0xaaa7a0cb05fa65f9b880898cdd2bebafa942ab9927a34534e915893234a8e9d3,51387,6000000,5563812124,0x5015600065e576faec17acb828ea930cc197d75bfba82f722d43027483e51ea1,60588,6000000,5563812124,ok
2026-09-02-v2-approve-b,1149,0x6a9c9e6220d85dc1cca3834c185804789f101ac845fc71502b06685eefdd8095,approve,1788341850.187,0x3f10b27c2161725eba19633ad0ee4327c992306d5b1bc9d110e6b558977f6148,51387,6000000,5805567624,0xaf8fa76f2ef2cdb6af06c81d7cbe058561aabce33695e41c8bf7378b1c110cbd,60588,6000000,10736956097,ok
2026-09-02-v2-approve-b,1150,0x9a7c7aebb823ff87812c6384fcba691a99ccddf6f67be4e5227972268dc5ef18,approve,1788341857.854,0x6b49659e807c8b6f8e5b05955149a2b4ff857f8c16c757b33306dac8cc4e4129,51387,6000000,5805567624,0xaa82759d9c0ca2a516fce4e3b15981c89691c19fea103ec99484518fdbc2b2d0,55788,6000000,6021088049,ok
2026-09-02-v2-approve-b,1153,0x0250270e89f4cc6fa1c7c4e18e4f8427a452b1c21737aabf6205eea3761dfdda,approve,1788341932.31,0x5d3a1169872cbcfe49ce53262544cfc7259a396a2d79e7d0adf7efe738c11844,51387,6000000,8343276068,0x598d53715eb4c6c8148ad5bac87ec32cceaed60c1225a3974a44aef1666dedfc,60588,6000000,5877153513,ok
2026-09-02-v2-approve-b,1152,0x755a69a2edfcaa514f35788c26aad36220ddedf6af0e204288e00741e0d26473,approve,1788341938.445,0x36633f2608275cd374d92da1a43ac81df2b02d02f80ca3727663e8f99c147f21,51387,6000000,9591126641,0xdf498e3753081382567357669beec41c0e62624a71c7251cb6e1e71ea93b515d,60588,6000000,5877153513,ok
2026-09-02-v2-approve-b,1151,0x46917e1a8ae54d0696fdfff09d5451573100d0446b11f7e71a62d2b8a8bb8dad,approve,1788341946.226,0x6986124d561b7df6f84af79d0c6bf99a3a6b222d94fad67abee711d4b9fd1e85,51387,6000000,5973710282,0x5290dbff454c24820231d2e2f46c874dfe42f9c4db5acafd73bd0295072da019,55776,6000000,5973710282,ok
2026-09-02-v2-approve-b,1155,0x5f893496e07cafa9e139bac81d1a90b6dce2c3cada24244fc027caf9ef72b4ea,approve,1788342018.66,0xf874508433999426906be0a943e4535eac2ca6fc5ced1479e722e3a2c4d84051,51387,6000000,5905995085,0x6070ffe7154c300fd0c7a1cac806ab18cca8fac28ca04aab59e9b3722473a345,60588,6000000,5905995085,ok
2026-09-02-v2-approve-b,1154,0x6cac5a3e777510a5a8d301b066f5b1627a3c5d7fe57b62c31297ee26ff68fb59,approve,1788342024.433,0x68bb2272d69d3bf47184008e2759403ddd72604b2ca423b366da95bd559a7e5b,51387,6000000,5905995085,0xdc8f24a4817a9f368250754a208d05f95dac6d277099d407612c9d24af64dd85,60588,6000000,5984275034,ok
2026-09-02-v2-approve-b,1156,0x3bd7ba28769fc8d537c69f6b7cf6518211f99c7ea24b35e72c9d3c03e0056f95,approve,1788342057.54,0xe83cb35238d2f65313f0e5dbeccdd6acda86d2af6cd842fc091bc2ac83b03780,51387,6000000,5713252766,0x1d14315e9b8a3f57fd15c5c0b01e60be864dcaf560e1d7cc4c01d515050cc36b,55788,6000000,12238924362,ok
2026-09-02-v2-approve-b,1159,0x2899e41173af9b108505f81448c0ec15377daf4b4bd4a24e0ad7e7669d9cff95,approve,1788342134.492,0xfa6c2f73543bb6ecd7fc677127a163bd3127a984a53b5975aba7a2e176a7fd35,51387,6000000,6055162187,0x53aac91767c921d15d0bd5a2c5897046a9dda1f77a1b84a7433967e0622f0796,60588,6000000,6055162187,ok
2026-09-02-v2-approve-b,1158,0xd304dfa10c6dafd61b1ea50188d478c607b482516b259cbb3eb3e85497decc2b,approve,1788342137.993,0xf6bbd232132699285eb65d6faf9253f4c2ac67c433419fc7fbccb78e833e072b,51387,6000000,5695985793,0x8a1187775d220f31e93098a034647326efbc0c49bb1310359d59799ee6c81e84,60588,6000000,5695985793,ok
2026-09-02-v2-approve-b,1157,0xeed8fb258a4eae5d55ed8a446eb3ddd2f333e9d39c04f9f6521e307123ad85fa,approve,1788342166.108,0xae59d22716a554df047647c018e8fa1d8edb6f8a505819c365a61027e2575600,51387,6000000,5709628949,0xc0c2a2685631ee8b7f7f4893107b099c06bec5ce6e28cc2620278e1d6ff846ee,55788,6000000,5709628949,ok
2026-09-02-v2-approve-b,1161,0xd2ddd324a79d6ece1c27a325d07563112be4b0f6794b2a2794efdaac64c7c40f,approve,1788342243.374,0xdf28e45470c11af895775becd2b49918ae86bc888cdfbfb29885273c9c8c5ab3,51387,6000000,6088217846,0x9bdb13fe210b642358e5a47b22f71cd005d900c16f209e20f3cbeca939f5f978,60588,6000000,6062992402,ok
2026-09-02-v2-approve-b,1162,0x4d5395221fa7359a1bf4c24df52d6d472e1f1a1c0d4d31f03ab464273f7e96cc,approve,1788342247.866,0x798e121654068ba364a6966aafd86fc7a12ab2f177051b511b1d7f094099f433,51387,6000000,6062992402,0x313bcd89c0865c6c25121b9f47f8f264bd5ba890593542427393ed1ad9338814,60588,6000000,6062992402,ok
2026-09-02-v2-approve-b,1160,0xd64d6eb3701dfc87ea0209a4223ca44df5a5dbc521df524c4472732c617d8f21,approve,1788342254.221,0x3d3539e7e8e97378ba09667c3b2aa677db983ba303d1dd35f9881e83a44a323e,51387,6000000,6153399384,0xbf786b06aa1e114090353e6d81b592c769567b90f20945953ce7b07eac016417,55788,6000000,6153399384,ok
