campagna,order_id,order_ref,modalita,t_invio,tx_approve,gas_approve,prezzo_approve_wei,l1_fee_approve_wei,tx_pay,gas_pay,prezzo_pay_wei,l1_fee_pay_wei,esito
2026-09-02-v2-permit,1127,0xfc86f54f8fa26265e3704651fd24fb6d02e17fc7d921d9469236aeb95cb3e147,permit,1788341181.62,,,,,0xfb8c2864575b82b5a0024863e45ffcf5ee2e37a803df01412d87d4aada7a49fd,81672,6000000,5589391299,ok
2026-09-02-v2-permit,1129,0x62997d06ffc84ba75b3780e599ab37dbdb058243fb4ebc142a01202dee6c75e1,permit,1788341187.894,,,,,0xf5a4d24aa096d92276bbf484b172388be5c0b88d4c0a87679a55f8f040c78ead,83672,6000000,5726193974,ok
2026-09-02-v2-permit,1128,0x2036a0a40f7db64c1235231c91be38775052b62ef8ff80bc7e647f173dfbc1a6,permit,1788341194.354,,,,,0x88543787e34752ccc6b84536abb80e1265c92022ce81e86cc19690b17b9c7bd0,82858,6000000,9584268700,ok
2026-09-02-v2-permit,1132,0xe77f321051ed97624ee0e1fcee13e42f6d514ddd90709a10f935df962f501a5d,permit,1788341270.043,,,,,0xd981bc2c8125481e8242a0ee1c2bcca76dfd251fcc363aa5be5f9561371e937d,83672,6000000,12273537715,ok
2026-09-02-v2-permit,1131,0x1f924d1097e7f61be7df59883172b6e7c177ca307f7ee2e3f18d387eb24aca33,permit,1788341272.62,,,,,0xe640a6d381e23eaa8e63cb8b7bdf6e03d7ca9ecdc45b56b0f89d5b712f08f285,83672,6000000,5836531873,ok
2026-09-02-v2-permit,1130,0x37b43bd7847e395c95329eef1313f2cd5fe75d40241762e5e22577ac6152e119,permit,1788341278.553,,,,,0xb3e034abaa0074ca5072306c63da271f19e2d60283bfbad9fefaf2f12c27def7,82858,6000000,5836531873,ok
2026-09-02-v2-permit,1135,0xdd65bd2cde202d17725441504c2350a875033f704df7fa5b18125213d16a54a8,permit,1788341354.097,,,,,0xadd7383a7e06264ca7237c60f786be0cfe0594219662971fa745371e2b010ccc,83672,6000000,15580811546,ok
2026-09-02-v2-permit,1133,0x31112f77700e17e46af7812d7e49f0499d2f300e194240fa3c67c7370c9d593e,permit,1788341356.781,,,,,0x3b5b113fe6f80c4f03bd491fa7daaf133abbfed0d90c12d6490ae8707077923c,83672,6000000,5511319220,ok
2026-09-02-v2-permit,1134,0x820dddbc69a5b17fbd523c81581e025874073d2282740c53e4f1bb068fb16cdd,permit,1788341363.639,,,,,0x32accaaf9a49825c38322c27f9cc31a119669f33b9d3806416e4e8b76d25052b,82858,6000000,39744266805,ok
2026-09-02-v2-permit,1136,0x7ff12c4881453b09a62dcc8db305d57ffb8632d5b45ee86581cde770bf1d7e63,permit,1788341439.916,,,,,0xc18a9be3298de2aed1ec348df9f07ab2f8db2e1f34ba1568fcd98f8d86ac45da,83672,6000000,6078401839,ok
2026-09-02-v2-permit,1138,0x141ee64da9189ffd921e7de86aca3750ce3c2352e2e42a632d92080de41d871c,permit,1788341446.571,,,,,0x9340f585b855bab3bf76ad3bbd3925a28454491b390ea17f86afe8463f67a1e8,83672,6000000,10173779784,ok
2026-09-02-v2-permit,1137,0xe9feca7df4e9ddaa3e2fbae1bf36d9e14593a254bfb5fbb938d46cabb9001cb0,permit,1788341452.293,,,,,0xfe521c24f50e0e38512cadb6381d981d9632b3788b63b06d573ea39f79659749,82848,6000000,6078401839,ok
2026-09-02-v2-permit,1141,0xcf375f4e142c6a3273d56dc58cb85365dfbcac6bfc7b7ea1b507131cbdf9f69c,permit,1788341523.79,,,,,0xe701fac4df56e20880644ad3e24b9791e86f30a218424056f8bc23393fb416ba,83672,6000000,10516577754,ok
2026-09-02-v2-permit,1140,0xc18dd5c50b9c03b12ea9dd30d4a79608f091925b024cbb9ff894c855ae025e74,permit,1788341530.479,,,,,0x0a0f28a4aa1b219c64ba7b471552e0110543f33a7b868f9e2d6e5032a12de49a,83648,6000000,6283209084,ok
2026-09-02-v2-permit,1139,0x14052e9bcaf551fbcab01238e7cbf097ec3a73ea2c4ef46ee142708ee20ed520,permit,1788341536.339,,,,,0xeba37cff799b3c87ea13004405764b64e58d90a0b94829f9f24e4fb38ee3fd92,82839,6000000,6037105124,ok
